gameId,official_crew,foul_count,foul_count_home,foul_count_away,turnover_whistle,turnover_whistle_home,turnover_whistle_away,scoreHome,scoreAway,crew_combo,crew_size,point_diff_home,home_win,away_game
1042200101,"[100274.0, 101044.0, 1628167.0]",35,18,17,13,8,5,79,61,"Ref A, Ref E, Ref Q",3,18,1,0
1042200102,"[201538.0, 203440.0, 1627526.0]",30,17,13,13,7,6,117,80,"Ref I, Ref M, Ref P",3,37,1,0
1042200111,"[202679.0, 203054.0, 203800.0]",30,12,18,6,2,4,91,98,"Ref K, Ref L, Ref N",3,-7,0,1
1042200112,"[100697.0, 1628167.0, 1628702.0]",31,18,13,8,3,5,100,62,"Ref C, Ref Q, Ref U",3,38,1,0
1042200113,"[201538.0, 202297.0, 203440.0]",22,13,9,12,7,5,68,86,"Ref I, Ref J, Ref M",3,-18,0,1
1042200121,"[100697.0, 101286.0, 1628484.0]",29,14,15,12,5,7,85,66,"Ref C, Ref F, Ref T",3,19,1,0
1042200122,"[100698.0, 203054.0, 203800.0]",29,9,20,11,4,7,77,89,"Ref D, Ref L, Ref N",3,-12,0,1
1042200123,"[100274.0, 101044.0, 1628167.0, 1628702.0]",40,19,21,15,6,9,56,73,"Ref A, Ref E, Ref Q, Ref U",4,-17,0,1
1042200131,"[200667.0, 201538.0, 203440.0, 1628480.0]",28,11,17,10,5,5,86,81,"Ref H, Ref I, Ref M, Ref S",4,5,1,0
1042200132,"[100274.0, 101044.0, 202297.0]",27,16,11,7,3,4,92,84,"Ref A, Ref E, Ref J",3,8,1,0
1042200201,"[100697.0, 1628167.0, 1628702.0]",28,12,16,7,5,2,73,74,"Ref C, Ref Q, Ref U",3,-1,0,1
1042200202,"[101044.0, 201538.0, 203440.0]",32,15,17,11,6,5,77,73,"Ref E, Ref I, Ref M",3,4,1,0
1042200203,"[100274.0, 203054.0, 203800.0]",33,16,17,7,2,5,96,97,"Ref A, Ref L, Ref N",3,-1,0,1
1042200204,"[100697.0, 203440.0, 1628484.0]",36,16,20,10,4,6,92,95,"Ref C, Ref M, Ref T",3,-3,0,1
1042200211,"[101044.0, 202297.0, 203054.0]",24,15,9,10,5,5,63,66,"Ref E, Ref J, Ref L",3,-3,0,1
1042200212,"[100274.0, 203800.0, 1628484.0]",35,16,19,12,6,6,83,73,"Ref A, Ref N, Ref T",3,10,1,0
1042200213,"[100697.0, 201538.0, 203440.0]",34,18,16,10,5,5,70,74,"Ref C, Ref I, Ref M",3,-4,0,1
1042200214,"[100274.0, 101044.0, 202297.0]",40,21,19,9,5,4,101,79,"Ref A, Ref E, Ref J",3,22,1,0
1042200215,"[201538.0, 203054.0, 1628702.0]",35,16,19,17,8,9,63,70,"Ref I, Ref L, Ref U",3,-7,0,1
1042200301,"[100697.0, 203440.0, 1628702.0]",24,10,14,11,4,7,67,62,"Ref C, Ref M, Ref U",3,5,1,0
1042200302,"[100274.0, 202297.0, 203054.0]",30,14,16,6,2,4,85,69,"Ref A, Ref J, Ref L",3,16,1,0
1042200303,"[101044.0, 201538.0, 203800.0]",30,18,12,12,6,6,103,76,"Ref E, Ref I, Ref N",3,27,1,0
1042200304,"[100697.0, 202297.0, 203440.0]",34,19,15,11,5,6,71,77,"Ref C, Ref J, Ref M",3,-6,0,1
1042300101,"[100308.0, 200667.0, 203440.0]",25,8,17,8,4,4,87,59,"Ref B, Ref H, Ref M",3,28,1,0
1042300102,"[100697.0, 202679.0, 1629176.0]",33,14,19,12,6,6,92,70,"Ref C, Ref K, Ref X",3,22,1,0
1042300111,"[202297.0, 1628702.0, 1629174.0]",27,12,15,3,2,1,85,75,"Ref J, Ref U, Ref W",3,10,1,0
1042300112,"[100274.0, 203440.0, 1628168.0]",44,18,26,14,7,7,88,85,"Ref A, Ref M, Ref R",3,3,1,0
1042300121,"[100274.0, 201538.0, 203891.0]",28,14,14,14,8,6,84,57,"Ref A, Ref I, Ref O",3,27,1,0
1042300122,"[202297.0, 203800.0, 1629178.0]",26,10,16,9,4,5,73,80,"Ref J, Ref N, Ref Y",3,-7,0,1
1042300123,"[100308.0, 100697.0, 1628167.0]",30,16,14,6,3,3,75,90,"Ref B, Ref C, Ref Q",3,-15,0,1
